Enthalpy(kJ/mol),std_enthalpy(kJ/mol),Delta(%),Omega,Entropy(J/K*mol),Tm(K),std_Tm (%),X,std_X(%),VEC,std_VEC,Density(g/com^3),Price(USD/kg)
-7.597725,4.719644606,2.408602099,3.29755142,13.47043672,185991.66,0.150677162,1.8097,6.607963846,7.9425,1.832810342,7.867972052,19.12
-3.759525,1.651478963,1.85376272,5.986902641,11.93428384,188598.75,0.123068213,1.8244,5.819723972,8.2275,1.488537453,8.265848953,19.79
-3.788125,1.704542604,1.987835479,6.610633315,12.8886829,194293.75,0.189228349,1.842,7.399727001,8.1375,1.522692927,8.622527603,20.02
-3.775725,1.679011064,1.922360947,6.32473081,12.47370697,191446.25,0.161278486,1.8332,6.681638409,8.1825,1.50638433,8.445482798,19.91
-7.485925,4.6934532,2.519336212,3.688224753,14.40359693,191686.66,0.210497087,1.8273,8.139809044,7.8525,1.846819902,8.220080019,19.4
-7.543725,4.707854363,2.464900754,3.504404195,13.99935349,188839.16,0.184572741,1.8185,7.436775013,7.8975,1.840378697,8.045267372,19.26
-7.597725,4.719644606,2.408602099,3.29755142,13.47043672,185991.66,0.150677162,1.8097,6.607963846,7.9425,1.832810342,7.867972052,19.12
-3.759525,1.651478963,1.85376272,5.986902641,11.93428384,188598.75,0.123068213,1.8244,5.819723972,8.2275,1.488537453,8.265848953,19.79
-12.32,5.504703443,4.05720413,1.829211964,13.38161136,168409.4,0.242573976,1.778,6.780952474,7.2,2.481934729,6.717648579,17.82
-12.32,5.504703443,4.05720413,1.829211964,13.38161136,168409.4,0.242573976,1.778,6.780952474,7.2,2.481934729,6.717648579,17.82
-7.268793943,3.910516654,2.923500262,3.187248988,12.82599916,180628.8605,0.163670075,1.805348837,5.955432633,7.88372093,1.955425396,7.637742203,19.11
-9.086419753,4.600341233,3.365800511,2.557158308,13.14594488,176749.6667,0.19258642,1.796666667,6.264171806,7.666666667,2.160246899,7.334513944,18.72
-10.57492078,5.06250657,3.695441252,2.179777598,13.30882985,173200.617,0.215473395,1.788723404,6.507037182,7.468085106,2.314166031,7.06636125,18.35
