Alloy name (composition),Phase (if known),FCC,BCC,Im,HCP,sigma,Processing (if known),Processing (Binary),Reference,Hardness (HV),Yield strength (MPa),Tensile strength (MPa),Elongation (ductility) %,Compressive strength (MPa),Plasticity  (ductility) %,delete,duplicate
Al0.5CoCrCuFeNiV1.2,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,579,,,,,,,
Al0.5CoCrCuFeNiV1.4,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,577,,,,,,,
Al0.5CoCrCuFeNiV1.6,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,594,,,,,,,
Al0.5CoCrCuFeNiV1.8,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,597,,,,,,,
Al0.5CoCrCuFeNiV2.0,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,587,,,,,,,
CoCrFeNi,FCC,1,0,0,0,0,,NA,https://doi.org/10.1016/j.msea.2021.142153,,160,368,65,,,,
CoCrFeNi,FCC,1,0,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,274,708,39,,,,
Al0.5CoCrFeMo0.5Ni,FCC + Im,1,0,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,425,,,,,,,
CoCrFeNiMn,SP-FCC(FCC),1,0,0,0,0,,NA,https://doi.org/10.1016/j.jmst.2021.01.054 ,175.7,,495.9,,,,,
CoCrFeNiNb,MP-IM(FCC+C14),1,0,1,0,0,,NA,https://doi.org/10.1016/j.jmst.2021.01.054 ,615.2,,1293.1,,,,,
CoCrFeNiNb,fcc,1,0,0,0,0,,NA,http://dx.doi.org/10.1016/j.intermet.2015.01.004,,147,413,49,,,,
CoCrFeNiTi,MP-IM,0,0,1,0,0,,NA,https://doi.org/10.1016/j.jmst.2021.01.054 ,592.6,,655,,,,,
CoCrFeNiTi,FCC,1,0,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,,,,,9,,
CoCrFeNiV,MP-IM(FCC + σ),1,0,1,0,1,,NA,https://doi.org/10.1016/j.jmst.2021.01.054 ,377.5,,424.1,,,,,
